AU;Австралия
AT;Австрия
AZ;Азербайджан
AI;Ангилья
AR;Аргентина
AM;Армения
BS;Багамы
BZ;Белиз
BY;Белоруссия (Беларусь)
BE;Бельгия
BM;Бермуды
BG;Болгария
BR;Бразилия
GB;Великобритания
HU;Венгрия
VN;Вьетнам
HT;Гаити
GP;Гваделупа
DE;Германия
HN;Гондурас
HK;Гонконг
GR;Греция
GE;Грузия
DK;Дания
DO;Доминиканская Республика
EG;Египет
IL;Израиль
IN;Индия
ID;Индонезия
JO;Иордания
IQ;Ирак
IE;Ирландия
ES;Испания
IT;Италия
KZ;Казахстан
CM;Камерун
CA;Канада
CY;Кипр
KG;Киргизия
CN;Китай (КНР)
CR;Коста-Рика
KW;Кувейт
LV;Латвия
LB;Ливан
LT;Литва
LU;Люксембург
MK;Македония
MY;Малайзия
MT;Мальта
MA;Марокко
MX;Мексика
MZ;Мозамбик
MD;Молдавия
MC;Монако
MN;Монголия
NL;Нидерланды
NZ;Новая Зеландия
NO;Норвегия
AE;ОАЭ
IM;Остров Мэн
PK;Пакистан
PE;Перу
PL;Польша
PT;Португалия
RE;Реюньон
RU;Россия
RO;Румыния
US;США
SV;Сальвадор
SY;Сирия
SK;Словакия
SI;Словения
SR;Суринам
TJ;Таджикистан
TH;Таиланд
TW;Тайвань (Китайская Республика)
TN;Тунис
TM;Туркменистан (Туркмения)
TR;Турция
UG;Уганда
UZ;Узбекистан
UA;Украина
FI;Финляндия
FR;Франция
HR;Хорватия
CZ;Чехия
CL;Чили
CH;Швейцария
SE;Швеция
EC;Эквадор
EE;Эстония
ZA;ЮАР (Южно-Африканская Республика)
KR;Южная Корея (Республика Корея)
JM;Ямайка
JP;Япония
