Код;Название тарифа;Режим доставки*;Ограни-чение по весу;Групп услуг;Описание;ownerCode
136;Посылка склад-склад;склад-склад (С-С);до 30 кг.;Посылка;Услуга экономичной доставки товаров по России для компаний, осуществляющих дистанционную торговлю. ;CDEK
137;Посылка склад-дверь;склад-дверь (С-Д);до 30 кг.;Посылка;Услуга экономичной доставки товаров по России для компаний, осуществляющих дистанционную торговлю. ;CDEK
138;Посылка дверь-склад;дверь-склад (Д-С);до 30 кг.;Посылка;Услуга экономичной доставки товаров по России для компаний, осуществляющих дистанционную торговлю. ;CDEK
139;Посылка дверь-дверь;дверь-дверь (Д-Д);до 30 кг.;Посылка;Услуга экономичной доставки товаров по России для компаний, осуществляющих дистанционную торговлю. ;CDEK
233;Экономичная посылка склад-дверь;склад-дверь (С-Д);до 50 кг.;Экономичная посылка;Услуга экономичной наземной доставки товаров по России для компаний, осуществляющих дистанционную торговлю. Услуга действует по направлениям из Москвы в подразделения СДЭК, находящиеся за Уралом и в Крым.;CDEK
234;Экономичная посылка склад-склад;склад-склад (С-С);до 50 кг.;Экономичная посылка;Услуга экономичной наземной доставки товаров по России для компаний, осуществляющих дистанционную торговлю. Услуга действует по направлениям из Москвы в подразделения СДЭК, находящиеся за Уралом и в Крым.;CDEK
301;До постомата InPost дверь-склад;дверь-склад (Д-С);"3 вида ячеек:
А (8*38*64 см)— до 5 кг
В (19*38*64 см) — до 7 кг
С (41*38*64 см)— до 20 кг
";InPost;"Услуга доставки товаров по России с использованием постоматов. Для компаний, осуществляющих дистанционную торговлю.
Характеристики услуги:
- по услуге принимаются только одноместные заказы
- выбранный при оформлении заказа постомат изменить на другой нельзя
- при невозможности использования постоматов осуществляется доставка до ПВЗ СДЭК или «до двери» клиента с изменением тарификации на услугу «Посылка»
- срок хранения заказа в ячейке: 5 дней с момента закладки в постомат
- возможность приема наложенного платежа
";InPost
302;До постомата InPost склад-склад;склад-склад (С-С);"3 вида ячеек:
А (8*38*64 см)— до 5 кг
В (19*38*64 см) — до 7 кг
С (41*38*64 см)— до 20 кг
";InPost;"Услуга доставки товаров по России с использованием постоматов. Для компаний, осуществляющих дистанционную торговлю.
Характеристики услуги:
- по услуге принимаются только одноместные заказы
- выбранный при оформлении заказа постомат изменить на другой нельзя
- при невозможности использования постоматов осуществляется доставка до ПВЗ СДЭК или «до двери» клиента с изменением тарификации на услугу «Посылка»
- срок хранения заказа в ячейке: 5 дней с момента закладки в постомат
- возможность приема наложенного платежа
";InPost
291;CDEK Express склад-склад;склад-склад (С-С);;CDEK Express;"Сервис по доставке товаров из-за рубежа в России с услугами по таможенному оформлению.
Три варианта предоставления услуги:
1) Мы забираем из другой страны, ввозим в РФ, проходим таможню, доставляем - накладная оформляется, например как Пекин-Новосибирск
2) Клиент сам ввозит груз в Россию, мы проходим российскую таможню и доставляем - накладная оформляется, например как Москва-Новосибирск
3) Клиент сам ввозит груз в Россию, сам проходит российскую таможню, мы только доставляем - накладная оформляется, например как Москва-Новосибирск
";CDEK
293;CDEK Express дверь-дверь;дверь-дверь (Д-Д);;CDEK Express;"Сервис по доставке товаров из-за рубежа в России с услугами по таможенному оформлению.
Три варианта предоставления услуги:
1) Мы забираем из другой страны, ввозим в РФ, проходим таможню, доставляем - накладная оформляется, например как Пекин-Новосибирск
2) Клиент сам ввозит груз в Россию, мы проходим российскую таможню и доставляем - накладная оформляется, например как Москва-Новосибирск
3) Клиент сам ввозит груз в Россию, сам проходит российскую таможню, мы только доставляем - накладная оформляется, например как Москва-Новосибирск
";CDEK
294;CDEK Express склад-дверь;склад-дверь (С-Д);;CDEK Express;"Сервис по доставке товаров из-за рубежа в России с услугами по таможенному оформлению.
Три варианта предоставления услуги:
1) Мы забираем из другой страны, ввозим в РФ, проходим таможню, доставляем - накладная оформляется, например как Пекин-Новосибирск
2) Клиент сам ввозит груз в Россию, мы проходим российскую таможню и доставляем - накладная оформляется, например как Москва-Новосибирск
3) Клиент сам ввозит груз в Россию, сам проходит российскую таможню, мы только доставляем - накладная оформляется, например как Москва-Новосибирск
";CDEK
295;CDEK Express дверь-склад;дверь-склад (Д-С);;CDEK Express;"Сервис по доставке товаров из-за рубежа в России с услугами по таможенному оформлению.
Три варианта предоставления услуги:
1) Мы забираем из другой страны, ввозим в РФ, проходим таможню, доставляем - накладная оформляется, например как Пекин-Новосибирск
2) Клиент сам ввозит груз в Россию, мы проходим российскую таможню и доставляем - накладная оформляется, например как Москва-Новосибирск
3) Клиент сам ввозит груз в Россию, сам проходит российскую таможню, мы только доставляем - накладная оформляется, например как Москва-Новосибирск
";CDEK
243;Китайский экспресс склад-склад;склад-склад (С-С);;Китайский Экспресс;"Услуга по доставке из Китая в Россию, Белоруссию и Казахстан. Стоимость разбита по интервалам: 
- до 200 гр;
- каждые последующие 100 гр до 1 кг;
- каждый последующий 1кг свыше 1 кг. 
";CDEK
245;Китайский экспресс дверь-дверь;дверь-дверь (Д-Д);;Китайский Экспресс;"Услуга по доставке из Китая в Россию, Белоруссию и Казахстан. Стоимость разбита по интервалам: 
- до 200 гр;
- каждые последующие 100 гр до 1 кг;
- каждый последующий 1кг свыше 1 кг. 
";CDEK
246;Китайский экспресс склад-дверь;склад-дверь (С-Д);;Китайский Экспресс;"Услуга по доставке из Китая в Россию, Белоруссию и Казахстан. Стоимость разбита по интервалам: 
- до 200 гр;
- каждые последующие 100 гр до 1 кг;
- каждый последующий 1кг свыше 1 кг. 
";CDEK
247;Китайский экспресс дверь-склад;дверь-склад (Д-С);;Китайский Экспресс;"Услуга по доставке из Китая в Россию, Белоруссию и Казахстан. Стоимость разбита по интервалам: 
- до 200 гр;
- каждые последующие 100 гр до 1 кг;
- каждый последующий 1кг свыше 1 кг. 
";CDEK
1;Экспресс лайт дверь-дверь;дверь-дверь (Д-Д);до 30 кг;Экспресс;Классическая экспресс-доставка по России документов и грузов до 30 кг.;CDEK
3;Супер-экспресс до 18;дверь-дверь (Д-Д);;Срочная доставка;Срочная доставка документов и грузов «из рук в руки» по России к определенному часу.;CDEK
5;Экономичный экспресс склад-склад;склад-склад (С-С);;Экономичная доставка;Недорогая доставка грузов по России ЖД и автотранспортом (доставка грузов с увеличением сроков).;CDEK
10;Экспресс лайт склад-склад;склад-склад (С-С);до 30 кг;Экспресс;Классическая экспресс-доставка по России документов и грузов. ;CDEK
11;Экспресс лайт склад-дверь;склад-дверь (С-Д);до 30 кг;Экспресс;Классическая экспресс-доставка по России документов и грузов. ;CDEK
12;Экспресс лайт дверь-склад;дверь-склад (Д-С);до 30 кг;Экспресс;Классическая экспресс-доставка по России документов и грузов. ;CDEK
15;Экспресс тяжеловесы склад-склад;склад-склад (С-С);от 30 кг;Экспресс;Классическая экспресс-доставка по России грузов. ;CDEK
16;Экспресс тяжеловесы склад-дверь;склад-дверь (С-Д);от 30 кг;Экспресс;Классическая экспресс-доставка по России грузов. ;CDEK
17;Экспресс тяжеловесы дверь-склад;дверь-склад (Д-С);от 30 кг;Экспресс;Классическая экспресс-доставка по России грузов. ;CDEK
18;Экспресс тяжеловесы дверь-дверь;дверь-дверь (Д-Д);от 30 кг;Экспресс;Классическая экспресс-доставка по России грузов. ;CDEK
57;Супер-экспресс до 9;дверь-дверь (Д-Д);до 5 кг;Срочная доставка;Срочная доставка документов и грузов «из рук в руки» по России к определенному часу (доставка за 1-2 суток).;CDEK
58;Супер-экспресс до 10;дверь-дверь (Д-Д);до 5 кг;Срочная доставка;Срочная доставка документов и грузов «из рук в руки» по России к определенному часу (доставка за 1-2 суток).;CDEK
59;Супер-экспресс до 12;дверь-дверь (Д-Д);до 5 кг;Срочная доставка;Срочная доставка документов и грузов «из рук в руки» по России к определенному часу (доставка за 1-2 суток).;CDEK
60;Супер-экспресс до 14;дверь-дверь (Д-Д);до 5 кг;Срочная доставка;Срочная доставка документов и грузов «из рук в руки» по России к определенному часу (доставка за 1-2 суток).;CDEK
61;Супер-экспресс до 16;дверь-дверь (Д-Д);;Срочная доставка;Срочная доставка документов и грузов «из рук в руки» по России к определенному часу (доставка за 1-2 суток).;CDEK
62;Магистральный экспресс склад-склад;склад-склад (С-С);;Экономичная доставка;Быстрая экономичная доставка грузов по России;CDEK
63;Магистральный супер-экспресс склад-склад;склад-склад (С-С);;Экономичная доставка;Быстрая экономичная доставка грузов к определенному часу;CDEK
